time_ms,x,y,target_x,target_y,target_w,start_flag,end_flag
762,1323.0,798.0,2403.0,787.0,40.0,0,0
777,1348.0,799.0,2403.0,787.0,40.0,0,0
793,1376.0,800.0,2403.0,787.0,40.0,0,0
809,1409.0,800.0,2403.0,787.0,40.0,0,0
824,1436.0,800.0,2403.0,787.0,40.0,0,0
840,1462.0,800.0,2403.0,787.0,40.0,0,0
855,1487.0,800.0,2403.0,787.0,40.0,0,0
870,1509.0,800.0,2403.0,787.0,40.0,0,0
885,1537.0,800.0,2403.0,787.0,40.0,0,0
900,1560.0,801.0,2403.0,787.0,40.0,0,0
915,1585.0,801.0,2403.0,787.0,40.0,0,0
931,1605.0,801.0,2403.0,787.0,40.0,0,0
946,1626.0,801.0,2403.0,787.0,40.0,0,0
961,1651.0,801.0,2403.0,787.0,40.0,0,0
977,1677.0,802.0,2403.0,787.0,40.0,0,0
993,1704.0,802.0,2403.0,787.0,40.0,0,0
1009,1731.0,802.0,2403.0,787.0,40.0,0,0
1023,1755.0,802.0,2403.0,787.0,40.0,0,0
1039,1777.0,802.0,2403.0,787.0,40.0,0,0
1054,1801.0,802.0,2403.0,787.0,40.0,0,0
1069,1826.0,802.0,2403.0,787.0,40.0,0,0
1085,1854.0,801.0,2403.0,787.0,40.0,0,0
1100,1879.0,801.0,2403.0,787.0,40.0,0,0
1115,1898.0,800.0,2403.0,787.0,40.0,0,0
1130,1918.0,800.0,2403.0,787.0,40.0,0,0
1146,1936.0,800.0,2403.0,787.0,40.0,0,0
1162,1954.0,800.0,2403.0,787.0,40.0,0,0
1177,1976.0,800.0,2403.0,787.0,40.0,0,0
1193,1993.0,800.0,2403.0,787.0,40.0,0,0
1208,2012.0,800.0,2403.0,787.0,40.0,0,0
1224,2030.0,799.0,2403.0,787.0,40.0,0,0
1240,2048.0,799.0,2403.0,787.0,40.0,0,0
1256,2067.0,799.0,2403.0,787.0,40.0,0,0
1271,2086.0,799.0,2403.0,787.0,40.0,0,0
1286,2105.0,798.0,2403.0,787.0,40.0,0,0
1302,2124.0,798.0,2403.0,787.0,40.0,0,0
1317,2144.0,797.0,2403.0,787.0,40.0,0,0
1333,2165.0,797.0,2403.0,787.0,40.0,0,0
1348,2181.0,797.0,2403.0,787.0,40.0,0,0
1363,2198.0,796.0,2403.0,787.0,40.0,0,0
1379,2211.0,795.0,2403.0,787.0,40.0,0,0
1395,2224.0,795.0,2403.0,787.0,40.0,0,0
1410,2238.0,795.0,2403.0,787.0,40.0,0,0
1425,2255.0,794.0,2403.0,787.0,40.0,0,0
1440,2272.0,793.0,2403.0,787.0,40.0,0,0
1455,2289.0,792.0,2403.0,787.0,40.0,0,0
1471,2304.0,791.0,2403.0,787.0,40.0,0,0
1486,2318.0,790.0,2403.0,787.0,40.0,0,0
1501,2334.0,789.0,2403.0,787.0,40.0,0,0
1517,2350.0,789.0,2403.0,787.0,40.0,0,0
1533,2368.0,788.0,2403.0,787.0,40.0,0,0
1548,2380.0,787.0,2403.0,787.0,40.0,0,0
1564,2388.0,787.0,2403.0,787.0,40.0,0,0
1580,2395.0,787.0,2403.0,787.0,40.0,0,0
1595,2399.0,787.0,2403.0,787.0,40.0,0,0
1611,2401.0,787.0,2403.0,787.0,40.0,0,0
1626,2402.0,787.0,2403.0,787.0,40.0,0,0
1642,2402.0,787.0,2403.0,787.0,40.0,0,0
1657,2402.0,787.0,2403.0,787.0,40.0,0,0
1673,2402.0,787.0,2403.0,787.0,40.0,0,0
1688,2402.0,787.0,2403.0,787.0,40.0,0,0
1704,2403.0,787.0,2403.0,787.0,40.0,0,0
1720,2403.0,787.0,2403.0,787.0,40.0,0,0
1735,2403.0,787.0,2403.0,787.0,40.0,0,0
1750,2403.0,787.0,2403.0,787.0,40.0,0,0
1764,2403.0,787.0,2403.0,787.0,40.0,0,0
1780,2403.0,787.0,2403.0,787.0,40.0,0,0
1796,2403.0,787.0,2403.0,787.0,40.0,0,0
1811,2403.0,787.0,2403.0,787.0,40.0,0,1
9,61.0,851.0,2185.0,850.0,40.0,1,0
24,61.0,851.0,2185.0,850.0,40.0,0,0
40,61.0,851.0,2185.0,850.0,40.0,0,0
55,61.0,851.0,2185.0,850.0,40.0,0,0
72,61.0,851.0,2185.0,850.0,40.0,0,0
88,61.0,851.0,2185.0,850.0,40.0,0,0
104,61.0,851.0,2185.0,850.0,40.0,0,0
119,61.0,851.0,2185.0,850.0,40.0,0,0
134,61.0,851.0,2185.0,850.0,40.0,0,0
150,61.0,851.0,2185.0,850.0,40.0,0,0
165,67.0,850.0,2185.0,850.0,40.0,0,0
180,79.0,849.0,2185.0,850.0,40.0,0,0
195,101.0,849.0,2185.0,850.0,40.0,0,0
210,137.0,849.0,2185.0,850.0,40.0,0,0
226,190.0,849.0,2185.0,850.0,40.0,0,0
242,252.0,849.0,2185.0,850.0,40.0,0,0
